wavelength,intensity
834.8,139
835.09,138
835.39,138
835.68,137
835.98,140
836.28,138
836.57,138
836.87,136
837.16,135
837.46,140
837.75,141
838.05,138
838.34,136
838.64,141
838.93,141
839.23,138
839.52,139
839.82,136
840.11,131
840.41,135
840.7,133
841,131
841.29,136
841.59,137
841.88,137
842.17,136
842.47,140
842.76,139
843.06,142
843.35,142
843.65,136
843.94,134
844.23,137
844.53,141
844.82,137
845.12,133
845.41,136
845.7,137
846,138
846.29,141
846.58,143
846.88,141
847.17,139
847.47,137
847.76,136
848.05,138
848.35,141
848.64,136
848.93,136
849.23,138
849.52,138
849.81,137
850.1,140
850.4,140
850.69,140
850.98,137
851.28,134
851.57,133
851.86,132
852.15,135
852.45,141
852.74,140
853.03,137
853.32,139
853.62,136
853.91,140
854.2,143
854.49,140
854.79,136
855.08,138
855.37,140
855.66,141
855.95,138
856.25,138
856.54,138
856.83,138
857.12,139
857.41,141
857.71,135
858,139
858.29,141
858.58,138
858.87,137
859.16,137
859.45,141
859.75,140
860.04,141
860.33,138
860.62,141
860.91,138
861.2,140
861.49,142
861.78,144
862.07,142
862.36,144
862.66,142
862.95,139
863.24,137
863.53,140
863.82,143
864.11,143
864.4,139
864.69,137
864.98,140
865.27,143
865.56,144
865.85,142
866.14,138
866.43,137
866.72,140
867.01,141
867.3,143
867.59,138
867.88,143
868.17,139
868.46,142
868.75,143
869.04,145
869.33,142
869.62,146
869.91,146
870.2,144
870.49,144
870.77,145
871.06,140
871.35,141
871.64,140
871.93,143
872.22,143
872.51,147
872.8,142
873.09,146
873.38,137
873.66,138
873.95,143
874.24,142
874.53,144
874.82,146
875.11,143
875.4,143
875.68,147
875.97,147
876.26,146
876.55,143
876.84,145
877.13,149
877.41,153
877.7,146
877.99,142
878.28,146
878.57,147
878.85,144
879.14,140
879.43,146
879.72,149
880,144
880.29,146
880.58,142
880.87,143
881.15,145
881.44,148
881.73,147
882.01,146
882.3,147
882.59,147
882.88,146
883.16,151
883.45,149
883.74,147
884.02,145
884.31,149
884.6,146
884.88,148
885.17,149
885.46,151
885.74,146
886.03,146
886.32,153
886.6,151
886.89,152
887.17,147
887.46,146
887.75,145
888.03,145
888.32,146
888.61,146
888.89,150
889.18,154
889.46,151
889.75,154
890.03,154
890.32,153
890.61,153
890.89,155
891.18,156
891.46,158
891.75,155
892.03,154
892.32,151
892.6,150
892.89,152
893.17,154
893.46,148
893.74,152
894.03,147
894.31,154
894.6,157
894.88,157
895.17,155
895.45,155
895.74,149
896.02,149
896.31,159
896.59,152
896.87,149
897.16,151
897.44,154
897.73,153
898.01,155
898.29,155
898.58,153
898.86,156
899.15,155
899.43,152
899.71,156
900,150
900.28,147
900.57,155
900.85,154
901.13,151
901.42,150
901.7,157
901.98,162
902.27,153
902.55,155
902.83,156
903.12,154
903.4,156
903.68,156
903.97,155
904.25,157
904.53,152
904.81,151
905.1,155
905.38,155
905.66,153
905.95,154
906.23,155
906.51,154
906.79,154
907.07,154
907.36,157
907.64,159
907.92,156
908.2,154
908.49,154
908.77,159
909.05,160
909.33,156
909.61,162
909.9,161
910.18,153
910.46,154
910.74,157
911.02,156
911.3,156
911.59,154
911.87,152
912.15,154
912.43,151
912.71,151
912.99,160
913.27,154
913.56,155
913.84,156
914.12,149
914.4,153
914.68,153
914.96,153
915.24,155
915.52,151
915.8,152
916.08,151
916.36,152
916.64,157
916.92,153
917.21,153
917.49,155
917.77,149
918.05,149
918.33,149
918.61,149
918.89,149
919.17,158
919.45,157
919.73,151
920.01,152
920.29,156
920.57,149
920.85,150
921.13,150
921.4,151
921.68,147
921.96,150
922.24,149
922.52,145
922.8,145
923.08,149
923.36,145
923.64,153
923.92,152
924.2,151
924.48,151
924.76,149
925.03,145
925.31,147
925.59,150
925.87,148
926.15,146
926.43,149
926.71,147
926.99,143
927.26,144
927.54,143
927.82,138
928.1,147
928.38,145
928.65,144
928.93,146
929.21,140
929.49,144
929.77,147
930.04,147
930.32,143
930.6,145
930.88,145
931.16,146
931.43,148
931.71,145
931.99,144
932.27,146
932.54,144
932.82,143
933.1,141
933.38,141
933.65,140
933.93,143
934.21,146
934.48,140
934.76,142
935.04,140
935.31,142
935.59,143
935.87,139
936.14,143
936.42,141
936.7,138
936.97,137
937.25,138
937.53,144
937.8,145
938.08,143
938.36,142
938.63,139
938.91,146
939.18,145
939.46,145
939.74,143
940.01,140
940.29,138
940.56,143
940.84,139
941.11,139
941.39,139
941.67,138
941.94,138
942.22,140
942.49,139
942.77,140
943.04,134
943.32,140
943.59,138
943.87,137
944.14,136
944.42,136
944.69,139
944.97,138
945.24,139
945.52,137
945.79,138
946.07,150
946.34,146
946.62,140
946.89,142
947.16,140
947.44,140
947.71,135
947.99,136
948.26,136
948.54,138
948.81,138
949.08,137
949.36,133
949.63,137
949.91,136
950.18,137
950.45,134
950.73,134
951,136
951.27,136
951.55,138
951.82,139
952.09,139
952.37,139
952.64,140
952.91,142
953.19,138
953.46,139
953.73,139
954.01,141
954.28,139
954.55,136
954.82,136
955.1,138
955.37,138
955.64,138
955.92,135
956.19,136
956.46,136
956.73,136
957.01,137
957.28,132
957.55,137
957.82,134
958.09,135
958.37,136
958.64,138
958.91,139
959.18,141
959.45,140
959.73,140
960,138
960.27,138
960.54,136
960.81,135
961.08,137
961.36,139
961.63,134
961.9,136
962.17,138
962.44,137
962.71,134
962.98,135
963.25,135
963.53,139
963.8,137
964.07,136
964.34,139
964.61,136
964.88,134
965.15,135
965.42,137
965.69,131
965.96,134
966.23,140
966.5,136
966.77,140
967.04,138
967.31,133
967.58,132
