Serial Number:20555847 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 20:26:00,17.11,948, , , , , 
2020-03-02 20:27:00,17.07,950, , , , , 
2020-03-02 20:28:00,17.07,948, , , , , 
2020-03-02 20:29:00,17.11,948, , , , , 
2020-03-02 20:30:00,17.11,951, , , , , 
2020-03-02 20:31:00,17.11,949, , , , , 
2020-03-02 20:32:00,17.16,949, , , , , 
2020-03-02 20:33:00,17.11,948, , , , , 
2020-03-02 20:34:00,17.11,949, , , , , 
2020-03-02 20:35:00,17.16,948, , , , , 
2020-03-02 20:36:00,17.11,919, , , , , 
2020-03-02 20:37:00,17.11,949, , , , , 
2020-03-02 20:38:00,17.07,943, , , , , 
2020-03-02 20:39:00,17.07,948, , , , , 
2020-03-02 20:40:00,17.11,940, , , , , 
2020-03-02 20:41:00,17.11,952, , , , , 
2020-03-02 20:42:00,17.11,953, , , , , 
2020-03-02 20:43:00,17.07,946, , , , , 
2020-03-02 20:44:00,17.11,950, , , , , 
2020-03-02 20:45:00,17.11,950, , , , , 
2020-03-02 20:46:00,17.11,943, , , , , 
2020-03-02 20:47:00,17.07,944, , , , , 
2020-03-02 20:48:00,17.07,946, , , , , 
2020-03-02 20:49:00,17.07,936, , , , , 
2020-03-02 20:50:00,17.07,946, , , , , 
2020-03-02 20:51:00,17.03,948, , , , , 
2020-03-02 20:52:00,17.07,944, , , , , 
2020-03-02 20:53:00,17.07,946, , , , , 
2020-03-02 20:54:00,17.11,935, , , , , 
2020-03-02 20:55:00,17.11,952, , , , , 
2020-03-02 20:56:00,17.11,955, , , , , 
2020-03-02 20:57:00,17.11,948, , , , , 
2020-03-02 20:58:00,17.16,953, , , , , 
2020-03-02 20:59:00,17.11,940, , , , , 
2020-03-02 21:00:00,17.11,332, , , , , 
2020-03-02 21:01:00,17.07,147, , , , , 
2020-03-02 21:02:00,17.11,146, , , , , 
2020-03-02 21:03:00,17.03,148, , , , , 
2020-03-02 21:04:00,17.03,148, , , , , 
2020-03-02 21:05:00,17.07,147, , , , , 
2020-03-02 21:06:00,17.07,147, , , , , 
2020-03-02 21:07:00,17.07,147, , , , , 
2020-03-02 21:08:00,17.11,147, , , , , 
2020-03-02 21:09:00,17.11,146, , , , , 
2020-03-02 21:10:00,17.07,148, , , , , 
2020-03-02 21:11:00,17.07,147, , , , , 
2020-03-02 21:12:00,17.11,147, , , , , 
2020-03-02 21:13:00,17.07,147, , , , , 
2020-03-02 21:14:00,17.07,148, , , , , 
2020-03-02 21:15:00,17.03,147, , , , , 
2020-03-02 21:16:00,17.03,146, , , , , 
2020-03-02 21:17:00,17.07,145, , , , , 
2020-03-02 21:18:00,17.07,146, , , , , 
2020-03-02 21:19:00,17.11,146, , , , , 
2020-03-02 21:20:00,17.11,146, , , , , 
2020-03-02 21:21:00,17.03,147, , , , , 
2020-03-02 21:22:00,17.07,147, , , , , 
2020-03-02 21:23:00,17.07,146, , , , , 
2020-03-02 21:24:00,17.03,146, , , , , 
2020-03-02 21:25:00,17.07,145, , , , , 
2020-03-02 21:26:00,17.07,146, , , , , 
2020-03-02 21:27:00,17.03,146, , , , , 
2020-03-02 21:28:00,17.07,145, , , , , 
2020-03-02 21:29:00,17.07,147, , , , , 
2020-03-02 21:30:00,17.16,146, , , , , 
2020-03-02 21:31:00,17.07,147, , , , , 
2020-03-02 21:32:00,17.07,145, , , , , 
2020-03-02 21:33:00,17.07,144, , , , , 
2020-03-02 21:34:00,17.07,145, , , , , 
2020-03-02 21:35:00,17.11,145, , , , , 
2020-03-02 21:36:00,17.07,145, , , , , 
2020-03-02 21:37:00,17.07,146, , , , , 
2020-03-02 21:38:00,17.07,145, , , , , 
2020-03-02 21:39:00,17.07,145, , , , , 
2020-03-02 21:40:00,17.07,144, , , , , 
2020-03-02 21:41:00,17.03,144, , , , , 
2020-03-02 21:42:00,17.07,144, , , , , 
2020-03-02 21:43:00,17.11,145, , , , , 
2020-03-02 21:44:00,17.07,145, , , , , 
2020-03-02 21:45:00,17.11,144, , , , , 
2020-03-02 21:46:00,17.11,145, , , , , 
2020-03-02 21:47:00,17.07,145, , , , , 
2020-03-02 21:48:00,17.07,146, , , , , 
2020-03-02 21:49:00,17.07,142, , , , , 
2020-03-02 21:50:00,17.07,144, , , , , 
2020-03-02 21:51:00,17.03,144, , , , , 
2020-03-02 21:52:00,17.03,145, , , , , 
2020-03-02 21:53:00,17.07,145, , , , , 
2020-03-02 21:54:00,17.07,145, , , , , 
2020-03-02 21:55:00,17.07,144, , , , , 
2020-03-02 21:56:00,17.11,144, , , , , 
