"Plot Title: 20739352"
"#","Date Time, GMT-08:00","High Range, μS/cm (LGR S/N: 20739352, SEN S/N: 20739352)","Temp, °C (LGR S/N: 20739352, SEN S/N: 20739352)"
405,11/17/20 11:57:10 AM,35226.2,20.96
406,11/17/20 11:57:20 AM,35245.5,20.96
407,11/17/20 11:57:30 AM,35220.7,20.96
408,11/17/20 11:57:40 AM,35220.7,20.96
409,11/17/20 11:57:50 AM,35226.2,20.96
410,11/17/20 11:58:00 AM,35237.2,20.97
411,11/17/20 11:58:10 AM,35245.5,20.97
412,11/17/20 11:58:20 AM,35256.5,20.97
413,11/17/20 11:58:30 AM,35251.0,20.97
414,11/17/20 11:58:40 AM,35253.8,20.97
415,11/17/20 11:58:50 AM,35228.9,20.97
416,11/17/20 11:59:00 AM,35223.4,20.97
417,11/17/20 11:59:10 AM,35237.2,20.97
418,11/17/20 11:59:20 AM,35237.2,20.97
419,11/17/20 11:59:30 AM,35237.2,20.97
420,11/17/20 11:59:40 AM,35251.0,20.97
421,11/17/20 11:59:50 AM,35251.0,20.97
422,11/17/20 12:00:00 PM,35253.8,20.97
423,11/17/20 12:00:10 PM,35237.2,20.97
424,11/17/20 12:00:20 PM,35234.4,20.96
425,11/17/20 12:00:30 PM,35253.8,20.96
426,11/17/20 12:00:40 PM,35253.8,20.97
427,11/17/20 12:00:50 PM,35262.1,20.96
428,11/17/20 12:01:00 PM,35223.4,20.97
429,11/17/20 12:01:10 PM,35267.6,20.96
430,11/17/20 12:01:20 PM,35253.8,20.96
431,11/17/20 12:01:30 PM,35270.4,20.97
432,11/17/20 12:01:40 PM,35242.7,20.97
433,11/17/20 12:01:50 PM,35273.1,20.97
434,11/17/20 12:02:00 PM,35245.5,20.97
435,11/17/20 12:02:10 PM,35253.8,20.97
436,11/17/20 12:02:20 PM,35267.6,20.97
437,11/17/20 12:02:30 PM,35270.4,20.97
438,11/17/20 12:02:40 PM,35267.6,20.97
439,11/17/20 12:02:50 PM,35259.3,20.97
440,11/17/20 12:03:00 PM,35242.7,20.97
441,11/17/20 12:03:10 PM,35253.8,20.97
442,11/17/20 12:03:20 PM,35267.6,20.97
443,11/17/20 12:03:30 PM,35240.0,20.97
444,11/17/20 12:03:40 PM,35267.6,20.98
445,11/17/20 12:03:50 PM,35267.6,20.97
446,11/17/20 12:04:00 PM,35245.5,20.98
447,11/17/20 12:04:10 PM,35240.0,20.98
448,11/17/20 12:04:20 PM,35259.3,20.98
449,11/17/20 12:04:30 PM,35267.6,20.98
450,11/17/20 12:04:40 PM,35259.3,20.98
451,11/17/20 12:04:50 PM,35270.4,20.98
452,11/17/20 12:05:00 PM,35259.3,20.98
453,11/17/20 12:05:10 PM,35245.5,20.98
454,11/17/20 12:05:20 PM,35245.5,20.98
455,11/17/20 12:05:30 PM,35251.0,20.98
456,11/17/20 12:05:40 PM,35292.5,20.98
457,11/17/20 12:05:50 PM,35284.2,20.98
458,11/17/20 12:06:00 PM,35270.4,20.98
459,11/17/20 12:06:10 PM,35270.4,20.98
460,11/17/20 12:06:20 PM,35284.2,20.98
461,11/17/20 12:06:30 PM,35251.0,20.98
462,11/17/20 12:06:40 PM,35270.4,20.99
463,11/17/20 12:06:50 PM,35295.3,20.98
464,11/17/20 12:07:00 PM,35292.5,20.99
465,11/17/20 12:07:10 PM,35292.5,20.99
466,11/17/20 12:07:20 PM,35295.3,20.99
467,11/17/20 12:07:30 PM,35275.9,20.99
468,11/17/20 12:07:40 PM,35284.2,20.99
469,11/17/20 12:07:50 PM,35309.1,20.99
470,11/17/20 12:08:00 PM,35295.3,20.99
471,11/17/20 12:08:10 PM,35303.6,20.99
472,11/17/20 12:08:20 PM,35256.5,20.99
473,11/17/20 12:08:30 PM,35295.3,20.99
474,11/17/20 12:08:40 PM,35303.6,20.99
475,11/17/20 12:08:50 PM,35292.5,20.99
476,11/17/20 12:09:00 PM,35267.6,20.99
477,11/17/20 12:09:10 PM,35267.6,20.99
478,11/17/20 12:09:20 PM,35295.3,20.99
479,11/17/20 12:09:30 PM,35275.9,20.99
480,11/17/20 12:09:40 PM,35248.3,20.98
481,11/17/20 12:09:50 PM,35281.4,20.98
482,11/17/20 12:10:00 PM,35267.6,20.99
483,11/17/20 12:10:10 PM,35287.0,20.99
484,11/17/20 12:10:20 PM,35287.0,20.99
485,11/17/20 12:10:30 PM,35311.9,20.98
486,11/17/20 12:10:40 PM,35281.4,20.99
487,11/17/20 12:10:50 PM,35287.0,20.98
488,11/17/20 12:11:00 PM,35311.9,20.98
489,11/17/20 12:11:10 PM,35281.4,20.98
490,11/17/20 12:11:20 PM,35300.8,20.99
491,11/17/20 12:11:30 PM,35292.5,20.99
492,11/17/20 12:11:40 PM,35306.3,20.99
493,11/17/20 12:11:50 PM,31826.7,20.97
494,11/17/20 12:12:00 PM,31815.0,20.97
495,11/17/20 12:12:10 PM,31796.2,20.98
496,11/17/20 12:12:20 PM,31808.0,20.98
497,11/17/20 12:12:30 PM,31800.9,20.98
498,11/17/20 12:12:40 PM,31817.3,20.98
499,11/17/20 12:12:50 PM,31826.7,20.99
500,11/17/20 12:13:00 PM,31831.4,20.99
501,11/17/20 12:13:10 PM,31829.0,20.99
502,11/17/20 12:13:20 PM,31838.4,20.99
503,11/17/20 12:13:30 PM,31805.6,20.99
504,11/17/20 12:13:40 PM,31847.8,20.99
505,11/17/20 12:13:50 PM,31861.9,20.99
506,11/17/20 12:14:00 PM,31861.9,20.99
507,11/17/20 12:14:10 PM,31847.8,20.99
508,11/17/20 12:14:20 PM,31840.8,20.99
509,11/17/20 12:14:30 PM,31850.1,20.99
510,11/17/20 12:14:40 PM,31850.1,20.99
511,11/17/20 12:14:50 PM,31866.6,20.99
512,11/17/20 12:15:00 PM,31859.5,20.99
513,11/17/20 12:15:10 PM,31876.0,20.99
514,11/17/20 12:15:20 PM,31859.5,20.99
515,11/17/20 12:15:30 PM,31861.9,20.99
516,11/17/20 12:15:40 PM,31878.3,20.99
517,11/17/20 12:15:50 PM,31878.3,20.99
518,11/17/20 12:16:00 PM,31861.9,20.99
519,11/17/20 12:16:10 PM,31871.3,20.99
520,11/17/20 12:16:20 PM,31861.9,20.99
521,11/17/20 12:16:30 PM,31871.3,20.99
522,11/17/20 12:16:40 PM,31897.1,20.99
523,11/17/20 12:16:50 PM,31880.7,20.99
