"Plot Title: CT_20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
159,03/06/20 12:56:30 PM,25.45,0.0,0.0123
160,03/06/20 12:56:40 PM,25.42,0.0,0.0123
161,03/06/20 12:56:50 PM,25.42,0.0,0.0123
162,03/06/20 12:57:00 PM,25.42,0.0,0.0123
163,03/06/20 12:57:10 PM,25.41,0.0,0.0123
164,03/06/20 12:57:20 PM,25.41,0.0,0.0123
165,03/06/20 12:57:30 PM,25.40,0.0,0.0123
166,03/06/20 12:57:40 PM,25.38,0.0,0.0123
167,03/06/20 12:57:50 PM,25.37,0.0,0.0123
168,03/06/20 12:58:00 PM,25.37,0.0,0.0123
169,03/06/20 12:58:10 PM,25.36,0.0,0.0123
170,03/06/20 12:58:20 PM,25.35,0.0,0.0123
171,03/06/20 12:58:30 PM,25.35,0.0,0.0123
172,03/06/20 12:58:40 PM,25.43,0.0,0.0123
173,03/06/20 12:58:50 PM,25.46,0.0,0.0123
174,03/06/20 12:59:00 PM,25.47,0.0,0.0123
175,03/06/20 12:59:10 PM,25.51,0.0,0.0123
176,03/06/20 12:59:20 PM,25.57,0.0,0.0123
177,03/06/20 12:59:30 PM,25.54,0.0,0.0123
178,03/06/20 12:59:40 PM,25.54,0.0,0.0123
179,03/06/20 12:59:50 PM,25.54,0.0,0.0123
180,03/06/20 01:00:00 PM,25.56,0.0,0.0123
181,03/06/20 01:00:10 PM,25.56,0.0,0.0123
182,03/06/20 01:00:20 PM,25.56,0.0,0.0123
183,03/06/20 01:00:30 PM,25.57,0.0,0.0123
184,03/06/20 01:00:40 PM,25.58,0.0,0.0123
185,03/06/20 01:00:50 PM,25.58,0.0,0.0123
186,03/06/20 01:01:00 PM,25.58,0.0,0.0123
187,03/06/20 01:01:10 PM,25.58,0.0,0.0123
188,03/06/20 01:01:20 PM,25.58,0.0,0.0123
189,03/06/20 01:01:30 PM,25.57,0.0,0.0123
190,03/06/20 01:01:40 PM,25.57,0.0,0.0123
191,03/06/20 01:01:50 PM,25.56,0.0,0.0123
192,03/06/20 01:02:00 PM,25.56,0.0,0.0123
193,03/06/20 01:02:10 PM,25.54,0.0,0.0123
194,03/06/20 01:02:20 PM,25.53,0.0,0.0123
195,03/06/20 01:02:30 PM,25.52,0.0,0.0123
196,03/06/20 01:02:40 PM,25.52,0.0,0.0123
197,03/06/20 01:02:50 PM,25.49,0.0,0.0123
198,03/06/20 01:03:00 PM,25.46,0.0,0.0123
199,03/06/20 01:03:10 PM,25.45,0.0,0.0123
200,03/06/20 01:03:20 PM,25.45,0.0,0.0123
201,03/06/20 01:03:30 PM,25.43,0.0,0.0123
202,03/06/20 01:03:40 PM,25.42,0.0,0.0123
203,03/06/20 01:03:50 PM,25.42,0.0,0.0123
204,03/06/20 01:04:00 PM,25.42,0.0,0.0123
205,03/06/20 01:04:10 PM,25.42,0.0,0.0123
206,03/06/20 01:04:20 PM,25.41,0.0,0.0123
207,03/06/20 01:04:30 PM,25.41,0.0,0.0123
208,03/06/20 01:04:40 PM,25.40,0.0,0.0123
209,03/06/20 01:04:50 PM,25.38,0.0,0.0123
210,03/06/20 01:05:00 PM,25.37,0.0,0.0123
211,03/06/20 01:05:10 PM,25.36,0.0,0.0123
212,03/06/20 01:05:20 PM,25.36,0.0,0.0123
213,03/06/20 01:05:30 PM,25.34,0.0,0.0123
214,03/06/20 01:05:40 PM,25.34,0.0,0.0123
215,03/06/20 01:05:50 PM,25.31,0.0,0.0123
216,03/06/20 01:06:00 PM,25.31,0.0,0.0123
217,03/06/20 01:06:10 PM,25.31,0.0,0.0123
218,03/06/20 01:06:20 PM,25.31,0.0,0.0123
219,03/06/20 01:06:30 PM,25.31,0.0,0.0123
220,03/06/20 01:06:40 PM,25.31,0.0,0.0123
221,03/06/20 01:06:50 PM,25.31,0.0,0.0123
222,03/06/20 01:07:00 PM,25.30,0.0,0.0123
223,03/06/20 01:07:10 PM,25.30,0.0,0.0123
224,03/06/20 01:07:20 PM,25.30,0.0,0.0123
225,03/06/20 01:07:30 PM,25.29,0.0,0.0123
226,03/06/20 01:07:40 PM,25.30,0.0,0.0123
227,03/06/20 01:07:50 PM,25.31,0.0,0.0123
228,03/06/20 01:08:00 PM,25.31,0.0,0.0123
229,03/06/20 01:08:10 PM,25.30,0.0,0.0123
230,03/06/20 01:08:20 PM,25.30,0.0,0.0123
231,03/06/20 01:08:30 PM,25.29,0.0,0.0123
232,03/06/20 01:08:40 PM,25.29,0.0,0.0123
233,03/06/20 01:08:50 PM,25.29,0.0,0.0123
234,03/06/20 01:09:00 PM,25.29,0.0,0.0123
235,03/06/20 01:09:10 PM,25.31,0.0,0.0123
236,03/06/20 01:09:20 PM,25.35,0.0,0.0123
237,03/06/20 01:09:30 PM,25.37,0.0,0.0123
238,03/06/20 01:09:40 PM,25.40,0.0,0.0123
239,03/06/20 01:09:50 PM,25.38,0.0,0.0123
240,03/06/20 01:10:00 PM,25.37,0.0,0.0123
241,03/06/20 01:10:10 PM,25.35,0.0,0.0123
242,03/06/20 01:10:20 PM,25.32,0.0,0.0123
243,03/06/20 01:10:30 PM,25.32,0.0,0.0123
244,03/06/20 01:10:40 PM,25.31,0.0,0.0123
245,03/06/20 01:10:50 PM,25.31,0.0,0.0123
246,03/06/20 01:11:00 PM,25.32,0.0,0.0123
247,03/06/20 01:11:10 PM,25.34,0.0,0.0123
248,03/06/20 01:11:20 PM,25.34,0.0,0.0123
249,03/06/20 01:11:30 PM,25.31,0.0,0.0123
250,03/06/20 01:11:40 PM,25.31,0.0,0.0123
251,03/06/20 01:11:50 PM,25.30,0.0,0.0123
252,03/06/20 01:12:00 PM,25.30,0.0,0.0123
253,03/06/20 01:12:10 PM,25.29,0.0,0.0123
254,03/06/20 01:12:20 PM,25.29,0.0,0.0123
255,03/06/20 01:12:30 PM,25.31,0.0,0.0123
256,03/06/20 01:12:40 PM,25.35,0.0,0.0123
257,03/06/20 01:12:50 PM,25.36,0.0,0.0123
258,03/06/20 01:13:00 PM,25.37,0.0,0.0123
259,03/06/20 01:13:10 PM,25.36,0.0,0.0123
260,03/06/20 01:13:20 PM,25.35,0.0,0.0123
261,03/06/20 01:13:30 PM,25.38,0.0,0.0123
262,03/06/20 01:13:40 PM,25.37,0.0,0.0123
263,03/06/20 01:13:50 PM,25.36,0.0,0.0123
264,03/06/20 01:14:00 PM,25.37,0.0,0.0123
265,03/06/20 01:14:10 PM,25.42,0.0,0.0123
266,03/06/20 01:14:20 PM,25.48,0.0,0.0123
267,03/06/20 01:14:30 PM,25.48,0.0,0.0123
268,03/06/20 01:14:40 PM,25.49,0.0,0.0123
269,03/06/20 01:14:50 PM,25.48,0.0,0.0123
